,house_name,zone,meters,direction,decora,Elevator,floor,year,floorh,totalPrice,unitPrice
637,金沙雅苑 ,3室2厅,102.52平米,南北,简装,NA,11,NA,高楼层,472,46040
638,康怡花园 ,3室2厅,96.67平米,南北,精装,无电梯,7,1997,高楼层,303,31344
639,佳和园 ,1室1厅,50.31平米,南,精装,有电梯,33,2009,低楼层,220,43729
640,万达东坊 ,2室2厅,90.24平米,南,精装,有电梯,8,2009,中楼层,385,42665
641,欧洲城凯旋丽都花园 ,3室2厅,135.66平米,南北,精装,有电梯,18,2005,低楼层,565,41649
642,茶亭村 ,2室1厅,57.9平米,南北,精装,无电梯,6,1988,高楼层,165,28498
643,南湖路42号 ,1室1厅,40.87平米,南北,精装,NA,5,1988,高楼层,99,24224
644,南湖边 ,2室1厅,43.82平米,南北,其他,无电梯,5,1999,高楼层,128,29211
645,虹苑新寓三村 ,2室1厅,64.77平米,南,简装,无电梯,6,1996,高楼层,181,27946
646,虹苑新寓一村 ,2室1厅,55.65平米,南北,简装,无电梯,8,1996,高楼层,140,25158
647,白鹭花园莺歌苑 ,2室2厅,80.66平米,南北,其他,无电梯,7,2000,高楼层,290,35954
648,虹苑新寓五村 ,3室1厅,74.53平米,南北,其他,NA,7,1998,中楼层,250,33544
649,嘉业阳光城天景苑一期 ,3室2厅,135.16平米,南北,精装,有电梯,16,2009,中楼层,590,43652
650,白鹭花园凤栖苑 ,3室1厅,67.08平米,南北,其他,无电梯,7,1998,高楼层,185,27580
651,万科金色家园 ,2室1厅,94.6平米,南北,其他,有电梯,31,2005,中楼层,490,51798
652,金基唐城 ,3室2厅,110.47平米,南,精装,有电梯,10,2001,高楼层,545,49335
653,湖心花园 ,2室1厅,75.94平米,南北,其他,无电梯,7,1999,高楼层,228,30024
654,叠彩丽庭 ,3室2厅,108.08平米,南北,简装,NA,6,2002,中楼层,400,37010
655,新禧家园 ,2室2厅,87.26平米,南北,精装,无电梯,7,2001,高楼层,275,31516
656,苏建艳阳居 ,3室2厅,104.42平米,南北,精装,无电梯,6,2004,高楼层,415,39744
657,露园 ,3室1厅,95.13平米,南北,其他,无电梯,6,2000,中楼层,305,32062
658,爱达花园兰花园 ,2室2厅,66.53平米,南北,其他,无电梯,7,1996,高楼层,165,24801
659,仁恒江湾城二期 ,2室1厅,90.56平米,南,其他,有电梯,32,2012,高楼层,530,58525
660,仁恒江湾城一期 ,3室2厅,143.75平米,南,精装,有电梯,33,2010,中楼层,750,52174
661,仁恒江湾城一期 ,3室2厅,143.75平米,南,精装,有电梯,33,2010,中楼层,750,52174
662,金贸新村 ,2室2厅,79.82平米,南北,其他,有电梯,7,1998,中楼层,229,28690
663,双和园 ,3室2厅,115.72平米,西北,精装,有电梯,18,2005,高楼层,390,33703
664,星雨华府 ,2室2厅,94.46平米,南,其他,有电梯,25,2006,中楼层,475,50286
665,月安花园歌月居 ,3室2厅,149.8平米,南北,精装,无电梯,6,2003,低楼层,540,36049
666,虹苑新寓五村 ,3室1厅,74.53平米,南北,其他,NA,7,1998,中楼层,250,33544
667,奥体新城青桐园 ,3室2厅,136.1平米,东南北,精装,有电梯,18,2011,中楼层,640,47025
668,水西门大街 ,3室1厅,72.34平米,南北,其他,无电梯,6,1996,高楼层,215,29721
669,银河湾福苑 ,2室2厅,90.72平米,南,精装,有电梯,18,2009,低楼层,382,42108
670,贡园 ,1室1厅,43.53平米,南,精装,无电梯,6,1998,中楼层,136,31243
671,嘉业国际城 ,1室1厅,55.97平米,东南南,简装,有电梯,27,2008,高楼层,220,39307
672,兴达新寓二村 ,1室1厅,39.66平米,西,其他,无电梯,6,1999,中楼层,132,33283
673,双和园 ,3室2厅,115.72平米,南北,其他,有电梯,18,2005,中楼层,390,33703
674,沿河一村 ,2室1厅,58.35平米,南北,其他,无电梯,6,1988,高楼层,148,25365
675,宇园 ,2室1厅,67.74平米,南,精装,无电梯,6,1994,高楼层,172,25392
676,虹苑新寓一村 ,2室1厅,63.8平米,南北,精装,无电梯,8,1996,高楼层,188,29468
677,嘉业阳光城天景苑一期 ,4室1厅,142.14平米,南北,精装,有电梯,11,2009,高楼层,645,45378
678,真园 ,2室1厅,51.9平米,南北,其他,NA,7,1996,低楼层,170,32756
679,钟鼎雅居 ,2室2厅,78.22平米,南北,精装,有电梯,15,2013,低楼层,320,40911
680,尚文西苑 ,3室2厅,165.21平米,南北,精装,NA,6,NA,高楼层,415,25120
681,云锦美地绮云居 ,2室2厅,95.87平米,南北,精装,无电梯,6,2005,高楼层,365,38073
682,万和源居 ,2室2厅,97.85平米,南北,精装,有电梯,24,2003,中楼层,395,40368
683,莫愁湖东路 ,2室1厅,71.16平米,南北,精装,无电梯,6,1983,高楼层,220,30917
684,康怡花园 ,3室2厅,96.67平米,南北,精装,无电梯,7,1997,中楼层,308,31861
685,万达西地二期 ,2室2厅,80.84平米,南,精装,有电梯,29,2009,低楼层,368,45523
686,左邻风度 ,3室2厅,150.18平米,南西北,精装,有电梯,25,2005,高楼层,560,37289
687,湖心花园 ,3室2厅,110.11平米,南北,简装,无电梯,7,1999,高楼层,345,31333
688,双和园 ,3室1厅,95平米,南北,简装,有电梯,11,2005,高楼层,355,37369
689,佳和园 ,3室1厅,85.85平米,南北,精装,有电梯,33,2009,低楼层,480,55912
690,滨江奥城静思苑 ,3室2厅,134.97平米,南北,精装,有电梯,18,2006,低楼层,550,40750
691,左邻风度 ,3室2厅,150.18平米,南西北,精装,有电梯,25,2005,高楼层,560,37289
692,佳和园 ,2室1厅,70.3平米,南,简装,有电梯,33,2009,高楼层,290,41252
693,佳和园 ,3室1厅,85.85平米,南北,精装,有电梯,33,2009,低楼层,480,55912
694,银城西堤国际一区 ,3室2厅,141.32平米,南北,简装,有电梯,11,2006,中楼层,675,47764
695,金马郦城 ,1室1厅,39.88平米,北,精装,无电梯,5,2009,中楼层,140,35106
696,利星公寓 ,3室2厅,96.78平米,东西,精装,NA,7,1999,中楼层,268,27692
697,天湖园 ,2室1厅,67.53平米,南北,精装,无电梯,7,2000,高楼层,220,32579
698,香缇丽舍 ,3室2厅,115.4平米,南,简装,有电梯,22,2004,低楼层,355,30763
699,紫金西区中央 ,2室2厅,91.46平米,南,其他,有电梯,20,2006,低楼层,308,33676
700,今日家园丹桂居 ,3室2厅,129.48平米,南北,其他,有电梯,10,1999,高楼层,430,33210
701,和府奥园 ,3室2厅,132.13平米,南,精装,有电梯,18,2014,中楼层,610,46167
702,金基汇锦国际 ,3室2厅,125.37平米,南,其他,有电梯,19,2009,高楼层,540,43073
703,仁恒江湾城二期 ,3室2厅,132.48平米,南,其他,有电梯,32,2012,中楼层,730,55103
704,中北品尚 ,3室2厅,130.92平米,南,精装,有电梯,16,2011,高楼层,560,42775
705,露园 ,2室1厅,61.39平米,南北,其他,无电梯,6,2000,高楼层,200,32579
706,奥体新城翠杉园 ,3室2厅,112.93平米,南北,精装,无电梯,5,2007,低楼层,580,51360
707,金轮翡翠名园 ,3室2厅,132.14平米,南,其他,NA,18,2013,中楼层,480,36326
708,晔园 ,2室1厅,64.28平米,南北,其他,有电梯,7,1998,中楼层,180,28003
709,长虹路后街 ,2室1厅,53.81平米,南北,其他,无电梯,7,1993,低楼层,168,31221
710,汉中门大街3号 ,3室2厅,93.42平米,南北,简装,有电梯,7,1996,高楼层,280,29973
711,德盈大厦 ,2室1厅,49.84平米,南,其他,有电梯,21,2006,中楼层,238,47753
712,奥体新城翠杉园 ,3室2厅,148.76平米,南北,精装,有电梯,11,2007,低楼层,750,50417
713,汉中门大街3号 ,3室1厅,88.67平米,南北,其他,有电梯,7,1996,中楼层,308,34736
714,万达华府东苑 ,3室2厅,103.1平米,南北,精装,有电梯,11,2003,低楼层,525,50922
715,凤凰和熙一期 ,2室2厅,88.66平米,南,其他,有电梯,18,2009,高楼层,435,49064
716,嘉业国际城 ,2室2厅,96.47平米,南北,精装,有电梯,27,2008,高楼层,270,27988
717,金地名京 ,2室1厅,87.22平米,南北,其他,有电梯,11,2010,中楼层,408,46779
718,今日家园丹桂居 ,2室2厅,78.93平米,南,其他,无电梯,6,2002,高楼层,295,37375
719,今日家园丹桂居 ,3室2厅,78.93平米,南,其他,无电梯,6,2002,高楼层,275,34841
720,中海塞纳丽舍西苑 ,2室1厅,94.62平米,南,简装,有电梯,11,2005,中楼层,480,50730
721,紫鑫国际公寓 ,1室2厅,81.84平米,东北,精装,有电梯,27,2006,中楼层,220,26882
722,舒心苑 ,3室2厅,107.89平米,南,毛坯,有电梯,9,2003,低楼层,335,31051
723,虹苑新寓一村 ,2室2厅,67.13平米,东南北,精装,无电梯,6,1996,高楼层,210,31283
724,贡园 ,2室1厅,63.86平米,南北,其他,无电梯,6,1999,高楼层,189,29596
725,安泰村 ,3室1厅,62.26平米,南,其他,无电梯,5,1996,高楼层,158,25378
726,万科金色家园 ,2室1厅,94.6平米,南,精装,有电梯,31,2005,中楼层,480,50740
727,典雅居 ,3室2厅,118.64平米,南北,简装,有电梯,10,2000,低楼层,480,40459
728,东升村 ,3室1厅,94.32平米,南北,其他,无电梯,6,1991,高楼层,270,28626
729,和府奥园 ,2室1厅,76.29平米,南,精装,有电梯,16,2014,低楼层,350,45878
730,利民东村 ,3室1厅,60.32平米,南北,其他,NA,5,1988,中楼层,195,32328
731,白鹭花园凤栖苑 ,2室1厅,63.42平米,南北,其他,无电梯,7,1998,中楼层,195,30748
732,万和源居 ,3室2厅,108.39平米,南,精装,有电梯,25,2003,低楼层,465,42901
733,金轮翡翠名园 ,3室2厅,120.19平米,南北,其他,NA,18,2013,中楼层,500,41601
734,长虹路后街 ,2室2厅,65.05平米,南,其他,无电梯,7,1991,高楼层,170,26134
735,城开怡家 ,3室2厅,93.78平米,南北,其他,有电梯,11,2005,中楼层,380,40521
736,安如村 ,3室1厅,74.01平米,南北,其他,无电梯,6,1997,高楼层,180,24322
737,电站村 ,2室1厅,48平米,南,其他,NA,6,1989,中楼层,135,28125
738,银河湾福苑 ,1室1厅,51.09平米,东,精装,有电梯,11,2009,中楼层,203,39734
739,长虹路389号 ,3室1厅,75.98平米,南北,毛坯,无电梯,5,2003,低楼层,186,24481
740,苏建艳阳居 ,3室2厅,120.13平米,南,其他,有电梯,18,2004,中楼层,458,38126
741,弘瑞广场 ,2室2厅,81.8平米,南西北,其他,有电梯,11,2009,中楼层,345,42177
742,兴达新寓一村 ,3室1厅,69.92平米,南,其他,无电梯,7,1999,高楼层,199,28462
743,仁恒江湾城二期 ,3室2厅,132.48平米,南北,精装,有电梯,32,2012,高楼层,750,56613
744,健园 ,2室1厅,81.26平米,东,其他,NA,7,1996,中楼层,220,27074
745,兆园 ,2室1厅,60.8平米,南,简装,无电梯,6,1995,高楼层,175,28783
746,奥体新城青桐园 ,3室2厅,136.1平米,南北,毛坯,有电梯,18,2011,低楼层,590,43351
747,滨江奥城观澜苑 ,2室2厅,105.9平米,南,其他,NA,19,2008,高楼层,385,36356
748,佳和园 ,3室1厅,85.06平米,南北,毛坯,有电梯,33,2009,低楼层,310,36445
749,虹苑新寓一村 ,2室1厅,66.78平米,南,简装,NA,7,1996,高楼层,205,30698
750,佳和园 ,2室1厅,79.02平米,南,精装,有电梯,33,2009,高楼层,346,43787
751,苏宁睿城 ,4室2厅,176.09平米,南,毛坯,有电梯,32,2013,低楼层,860,48839
752,保利香槟国际 ,4室2厅,198.81平米,南北,毛坯,有电梯,18,2013,低楼层,880,44264
753,佳和园 ,2室1厅,79.02平米,南,精装,有电梯,33,2009,高楼层,346,43787
754,金马郦城 ,1室2厅,56.19平米,南北,精装,无电梯,5,2005,中楼层,255,45382
755,白鹭花园凤栖苑 ,3室1厅,79.51平米,东西,简装,无电梯,7,1998,高楼层,235,29557
756,积善新寓丰勤园 ,2室1厅,79.65平米,南北,简装,无电梯,6,2003,高楼层,300,37665
757,金基汇锦国际 ,3室2厅,125.37平米,南,精装,有电梯,19,2009,中楼层,580,46264
758,积善新寓睦和园 ,5室2厅,149.06平米,南北,简装,无电梯,6,2003,高楼层,345,23146
759,佳和园 ,2室1厅,66.42平米,东南西,简装,有电梯,33,2009,低楼层,306,46071
760,福园 ,3室1厅,80.55平米,南北,简装,无电梯,7,1995,高楼层,226,28058
761,露园 ,2室1厅,69.62平米,南,精装,无电梯,6,2000,高楼层,233,33468
762,晔园 ,2室1厅,63.96平米,南,简装,有电梯,7,1998,中楼层,180,28143
763,中泰国际广场 ,2室2厅,108.94平米,南,简装,有电梯,28,2006,中楼层,435,40000
764,中泰国际广场 ,3室2厅,154.83平米,南,简装,有电梯,28,2006,中楼层,619,40000
765,万科光明城市东苑 ,2室2厅,103.93平米,南,精装,有电梯,18,2006,中楼层,530,50996
766,东升村 ,2室1厅,53.03平米,南北,简装,无电梯,6,1991,高楼层,142,26778
767,宏普捷座 ,1室1厅,52.74平米,北,精装,有电梯,20,2009,低楼层,205,38870
768,五矿御江金城 ,3室2厅,139.44平米,南北,毛坯,有电梯,24,2012,低楼层,609,43675
769,奥体新城青桐园 ,3室2厅,109.66平米,南北,简装,无电梯,7,2011,中楼层,520,47420
770,金马郦城 ,2室2厅,88.91平米,南,精装,无电梯,5,2005,中楼层,379,42628
771,虹苑新寓三村 ,2室1厅,54.61平米,西北,简装,无电梯,8,1996,中楼层,166,30398
772,万和源居 ,3室2厅,134平米,南北,其他,有电梯,25,2003,低楼层,500,37314
773,紫金西区中央 ,2室1厅,91.46平米,南北,精装,有电梯,20,2006,中楼层,330,36082
774,云锦美地合锦苑 ,4室2厅,184.59平米,南北,毛坯,无电梯,6,2006,高楼层,552,29905
775,白鹭花园莺歌苑 ,2室2厅,94.43平米,南北,简装,无电梯,7,2000,低楼层,335,35477
776,仁恒江湾城二期 ,3室2厅,152.9平米,南,其他,有电梯,32,2010,中楼层,890,58208
777,中北英郡 ,2室2厅,87.25平米,南北,其他,有电梯,11,2014,中楼层,418,47909
778,滨江奥城听雨苑 ,2室2厅,86.54平米,南北,其他,无电梯,5,2005,中楼层,400,46222
779,金贸新村 ,2室1厅,88.83平米,南北,其他,有电梯,7,1998,高楼层,252,28369
780,积善新寓睦和园 ,4室2厅,133.12平米,南北,其他,无电梯,7,2003,高楼层,386,28997
781,左邻风度 ,2室2厅,110.92平米,西南,其他,有电梯,25,2005,高楼层,402,36243
782,万和源居 ,3室2厅,108.05平米,东南西,其他,有电梯,24,2003,中楼层,430,39797
783,车站村 ,2室1厅,51.31平米,南北,其他,无电梯,7,1986,高楼层,130,25337
784,银城西堤国际二区 ,2室1厅,87.23平米,南,其他,有电梯,11,2008,低楼层,450,51588
785,沿河三村 ,2室1厅,47.09平米,南北,精装,无电梯,6,1985,高楼层,125,26545
786,白鹭花园莺歌苑 ,2室2厅,94.43平米,南北,简装,无电梯,7,2000,低楼层,335,35477
787,仁恒江湾城二期 ,3室2厅,152.9平米,南,其他,有电梯,32,2010,中楼层,890,58208
788,吉庆家园逢春苑 ,3室1厅,88.21平米,南北,简装,无电梯,6,2001,高楼层,365,41379
789,仁恒江湾城一期 ,3室2厅,143.75平米,南,其他,有电梯,33,2010,高楼层,720,50087
790,天成苑 ,3室2厅,137.26平米,东南,其他,有电梯,21,2006,中楼层,490,35699
791,虹苑新寓三村 ,2室1厅,63.49平米,南北,其他,无电梯,7,1996,高楼层,195,30714
792,宏普捷座 ,2室2厅,48.07平米,南,精装,有电梯,20,2009,中楼层,240,49928
793,仁恒江湾城二期 ,3室2厅,153.87平米,南北,精装,有电梯,32,2012,高楼层,950,61741
794,仁恒江湾城一期 ,3室2厅,144.42平米,南北,其他,有电梯,33,2010,低楼层,820,56779
795,金基汇锦国际 ,2室2厅,50.3平米,南北,精装,有电梯,12,2009,低楼层,320,63619
796,欧洲城凯旋丽都花园 ,3室2厅,141.19平米,南北,其他,有电梯,18,2005,低楼层,620,43913
797,苏宁睿城 ,3室2厅,138.41平米,南北,其他,有电梯,33,2012,高楼层,700,50575
798,品阁公寓 ,2室2厅,98.54平米,南北,精装,NA,11,NA,低楼层,326,33084
799,舒心苑 ,3室2厅,122.81平米,南北,其他,NA,11,2003,低楼层,440,35828
800,天成苑 ,3室2厅,119.29平米,南,其他,有电梯,21,2006,高楼层,390,32694
801,华润悦府 ,4室2厅,288.71平米,南北,其他,有电梯,28,2014,低楼层,1680,58190
802,佳和园 ,1室1厅,50.31平米,南北,其他,有电梯,33,2009,中楼层,230,45717
803,中海塞纳丽舍西苑 ,2室2厅,89.84平米,南北,精装,有电梯,11,2005,中楼层,460,51203
804,积贤雅苑 ,1室1厅,62平米,南北,毛坯,有电梯,33,2014,低楼层,280,45162
805,舒心苑 ,4室2厅,204.08平米,南北,精装,有电梯,9,2003,高楼层,585,28666
806,虹苑新寓二村 ,2室1厅,59.97平米,南北,简装,无电梯,7,1996,低楼层,188,31350
807,天湖园 ,2室1厅,55.37平米,南北,精装,无电梯,7,2000,高楼层,188,33954
808,奥体新城青桐园 ,2室1厅,71.49平米,南,精装,有电梯,18,2011,低楼层,322,45042
809,云锦美地聚锦苑 ,5室2厅,203.42平米,南北,精装,有电梯,11,2005,高楼层,712,35002
810,晔园 ,2室1厅,76.28平米,南北,简装,有电梯,7,1998,低楼层,255,33430
811,金贸新村 ,2室1厅,73.42平米,南北,简装,有电梯,7,1996,高楼层,187,25470
812,牌坊街49号 ,2室1厅,65.6平米,南,简装,NA,6,1995,中楼层,185,28202
813,金基汇锦国际 ,2室2厅,48.95平米,南,精装,有电梯,12,2009,高楼层,275,56180
814,嘉业国际城 ,1室1厅,67.33平米,南,精装,有电梯,27,2008,中楼层,220,32675
815,兴达新寓一村 ,1室1厅,49.09平米,南,其他,无电梯,7,1999,中楼层,155,31575
816,万达西地二期 ,3室2厅,127.93平米,南北,简装,有电梯,29,2010,高楼层,497,38850
817,云锦美地聚锦苑 ,3室2厅,133.74平米,南北,其他,有电梯,11,2005,低楼层,530,39630
818,白鹭花园凤栖苑 ,1室1厅,45.86平米,南,其他,无电梯,7,1998,中楼层,130,28348
819,爱达花园兰花园 ,2室2厅,66.11平米,南,其他,无电梯,7,1995,高楼层,166,25110
820,桃园居 ,2室1厅,64.2平米,南北,其他,无电梯,6,2000,低楼层,232,36138
821,保利香槟国际 ,3室2厅,141平米,南北,精装,有电梯,18,2013,中楼层,660,46809
822,金贸新寓 ,2室1厅,75.08平米,西南,简装,无电梯,6,1995,高楼层,230,30634
823,金贸新村 ,2室1厅,78.77平米,南北,简装,有电梯,7,1996,中楼层,238,30215
824,苏宁滨江壹号 ,2室2厅,136.87平米,南北,其他,NA,43,2014,中楼层,540,39454
825,话园 ,3室2厅,96.36平米,南,其他,无电梯,6,1994,高楼层,260,26983
826,银城西堤坊 ,4室2厅,165.58平米,北南,毛坯,有电梯,18,2010,低楼层,710,42880
827,万达华府东苑 ,2室2厅,85.45平米,南北,其他,有电梯,11,2006,高楼层,430,50322
828,安康村 ,2室1厅,61.96平米,东北,其他,无电梯,7,1994,低楼层,236,38090
829,吉庆家园金秋苑 ,3室2厅,125平米,南北,其他,无电梯,6,2003,高楼层,380,30400
830,金基汇锦国际 ,3室2厅,133.22平米,南北,精装,有电梯,19,2009,中楼层,590,44288
831,白鹭花园莺歌苑 ,2室1厅,59.64平米,南北,其他,无电梯,7,2000,高楼层,200,33535
832,嘉业国际城 ,2室1厅,96.47平米,南,其他,有电梯,27,2008,高楼层,295,30580
833,茶亭村 ,3室1厅,69.4平米,南北,简装,无电梯,5,1985,中楼层,190,27378
834,海峡城云璟湾 ,2室2厅,87.09平米,南北,精装,NA,34,2016,高楼层,350,40189
835,金陵世家 ,5室1厅,148.48平米,南,精装,无电梯,6,2001,高楼层,450,30308
836,银城西堤国际一区 ,3室2厅,131.37平米,南北,精装,有电梯,18,2006,高楼层,635,48337
837,天正滨江花园 ,5室2厅,225.65平米,南北,毛坯,有电梯,18,2011,低楼层,830,36783
838,苏宁睿城 ,3室1厅,130.85平米,南北,毛坯,有电梯,18,2012,中楼层,645,49294
839,星雨华府 ,3室2厅,141.38平米,南北,简装,有电梯,25,2006,低楼层,605,42793
840,思园 ,4室2厅,86.74平米,南北,其他,无电梯,6,2000,高楼层,302,34817
841,虹苑新寓二村 ,2室2厅,59.49平米,南北,简装,无电梯,6,1996,高楼层,165,27736
842,星雨华府 ,1室2厅,94.4平米,南,精装,有电梯,25,2009,高楼层,468,49577
843,虹苑新寓二村 ,2室1厅,59.52平米,南,简装,无电梯,7,1996,高楼层,172,28898
844,明园 ,1室1厅,40.22平米,东北,精装,无电梯,6,1996,高楼层,108,26853
845,佳和园 ,1室1厅,49.6平米,南,简装,有电梯,33,2009,高楼层,232,46775
846,金地名京 ,2室1厅,63.5平米,东,精装,有电梯,17,2010,低楼层,258,40630
847,奥体新城木樨园 ,3室2厅,170.84平米,南北,精装,NA,9,2006,高楼层,818,47882
848,湖心花园 ,6室2厅,103.04平米,南北,毛坯,无电梯,6,1999,高楼层,340,32997
849,明园 ,2室1厅,53.56平米,南,其他,无电梯,6,1996,高楼层,142,26513
850,紫鑫国际公寓 ,2室1厅,62.15平米,东,其他,有电梯,27,2006,中楼层,205,32985
851,莫愁东寓 ,2室1厅,65.14平米,东西,简装,无电梯,7,1997,高楼层,165,25331
852,润花园 ,2室1厅,56.02平米,南北,其他,有电梯,16,2008,中楼层,225,40165
853,中海塞纳丽舍西苑 ,4室2厅,112.11平米,南北,其他,有电梯,11,2005,高楼层,660,58871
854,兴隆新寓兴宏园 ,1室1厅,27.66平米,南,其他,无电梯,6,2000,低楼层,105,37961
855,兴元嘉园 ,3室2厅,118.51平米,南,其他,有电梯,11,2007,高楼层,520,43879
856,汉中门大街19号 ,3室1厅,65.37平米,南北,其他,NA,5,1988,高楼层,180,27536
857,水西门大街 ,2室1厅,62.21平米,南北,简装,无电梯,7,1996,中楼层,169,27167
858,虹苑新寓五村 ,2室1厅,64.9平米,南北,其他,无电梯,7,1998,高楼层,165,25424
859,宇园 ,2室1厅,60.98平米,南北,简装,NA,6,1993,高楼层,170,27878
860,双和园 ,3室2厅,94.86平米,南,简装,NA,11,2005,低楼层,310,32680
861,华隆新寓一村 ,1室1厅,47.93平米,南北,其他,无电梯,6,1999,中楼层,168,35052
862,银轮花园 ,3室1厅,74.6平米,南,其他,无电梯,6,2000,高楼层,261,34987
863,海峡城云璟湾 ,4室2厅,201.47平米,南,精装,NA,32,2016,高楼层,716,35539
864,台园 ,3室1厅,77.65平米,南北,精装,有电梯,7,1994,中楼层,227,29234
865,天湖园 ,2室1厅,55.21平米,南北,精装,无电梯,6,2003,中楼层,220,39848
866,文体西村 ,2室1厅,56.66平米,西北,精装,NA,7,1985,高楼层,150,26474
867,嘉业国际城 ,1室1厅,56.08平米,东,精装,有电梯,27,2008,低楼层,223,39765
868,银河湾福苑 ,1室1厅,51.06平米,东,精装,有电梯,11,2009,低楼层,219,42891
869,嘉业国际城 ,1室1厅,59.82平米,西,精装,有电梯,27,2008,中楼层,230,38449
870,吉庆家园逢春苑 ,3室2厅,109.55平米,东,其他,无电梯,6,2001,低楼层,328,29941
871,金地名京 ,1室1厅,33.89平米,东,其他,有电梯,17,2010,低楼层,148,43671
872,银城西堤国际三区 ,3室2厅,133.09平米,南,其他,有电梯,18,2009,高楼层,650,48840
873,东升村 ,2室1厅,59.89平米,南北,简装,无电梯,6,1991,中楼层,165,27551
874,星雨华府 ,4室2厅,132.78平米,东北,毛坯,有电梯,25,2014,高楼层,550,41422
875,金基汇锦国际 ,3室2厅,139.14平米,南,毛坯,有电梯,20,2009,低楼层,550,39529
876,晔园 ,2室1厅,69.2平米,南北,其他,无电梯,6,2000,高楼层,240,34683
877,润花园 ,2室1厅,48.52平米,西,精装,有电梯,16,2008,高楼层,190,39160
878,安民村 ,2室1厅,59.72平米,南北,精装,无电梯,6,1993,高楼层,160,26792
879,积善新寓丰勤园 ,1室1厅,52.77平米,南北,精装,无电梯,7,2003,低楼层,190,36006
880,宏普捷座 ,1室2厅,47.93平米,南,精装,有电梯,20,2009,中楼层,265,55289
881,茶花里 ,2室1厅,70.54平米,南,简装,无电梯,7,1994,中楼层,205,29062
882,茶西里 ,2室1厅,59.12平米,南北,其他,NA,3,1998,低楼层,179,30278
883,健园 ,2室1厅,61.88平米,南,其他,无电梯,7,1994,高楼层,160,25857
884,仁园 ,2室1厅,75.58平米,南北,其他,无电梯,7,1998,高楼层,185,24478
885,虹苑新寓四村 ,2室1厅,61.5平米,南,其他,无电梯,7,1998,高楼层,175,28456
886,真园 ,3室2厅,65.26平米,南北,其他,无电梯,7,1996,高楼层,198,30341
887,开园 ,2室1厅,46.15平米,南北,精装,无电梯,7,1998,高楼层,140,30336
888,苏宁睿城 ,3室2厅,138.44平米,南北,毛坯,有电梯,33,2012,低楼层,685,49480
889,保利香槟国际 ,3室3厅,118平米,南,毛坯,有电梯,18,2013,低楼层,530,44916
890,金陵世家 ,4室3厅,151.83平米,南北,其他,NA,6,2001,高楼层,455,29968
891,金马郦城 ,1室2厅,56.19平米,南,精装,NA,5,2005,中楼层,278,49475
892,雨润国际广场 ,1室1厅,85.99平米,南,精装,有电梯,27,2014,中楼层,335,38959
893,怡康新寓 ,3室1厅,100.62平米,南北,简装,无电梯,6,2004,中楼层,390,38760
894,东升村 ,2室1厅,76.7平米,南北,精装,有电梯,7,1991,中楼层,235,30639
895,虹苑新寓三村 ,2室1厅,64.75平米,南北,简装,无电梯,7,1996,高楼层,194,29962
896,紫鑫国际公寓 ,2室1厅,81.62平米,西北,精装,有电梯,27,2006,低楼层,250,30630
897,湖心花园 ,2室1厅,93.35平米,南北,简装,无电梯,7,1999,高楼层,290,31066
898,嘉业国际城 ,1室1厅,56.08平米,东,精装,有电梯,27,2008,高楼层,220,39230
899,中和园 ,4室2厅,105.63平米,西北,简装,有电梯,18,2008,高楼层,320,30295
900,凤凰和熙一期 ,7室3厅,216.89平米,南,其他,NA,18,2009,高楼层,800,36886
901,云锦美地碧云居 ,2室2厅,96.99平米,南北,精装,有电梯,10,2007,低楼层,375,38664
902,金地名京 ,1室0厅,43.7平米,东,其他,有电梯,17,2010,高楼层,190,43479
903,天湖园 ,2室1厅,54.86平米,南北,精装,无电梯,7,2003,中楼层,192,34999
904,德盈大厦 ,2室1厅,49.84平米,南,其他,有电梯,21,2006,中楼层,255,51164
905,银河湾福苑 ,1室1厅,51.09平米,东,精装,有电梯,11,2009,高楼层,219,42866
906,悦达新寓 ,2室1厅,68.27平米,南北,其他,有电梯,7,2000,高楼层,230,33690
907,梅花里 ,2室1厅,65.48平米,南,简装,无电梯,6,1988,高楼层,185,28253
908,玉塘村南 ,2室1厅,55.77平米,南北,其他,无电梯,5,1988,中楼层,170,30483
909,露园 ,2室1厅,59.9平米,南北,精装,无电梯,6,1988,中楼层,210,35059
910,玉兰里 ,2室1厅,57.02平米,南北,简装,无电梯,6,1990,高楼层,150,26307
911,云锦美地聚锦苑 ,3室2厅,103.94平米,南北,精装,有电梯,10,2005,低楼层,398,38292
912,吉庆家园仲夏苑 ,3室1厅,110平米,南北,精装,NA,9,2003,高楼层,420,38182
913,兴隆新寓兴宏园 ,4室2厅,79.96平米,东南北,简装,无电梯,7,2000,高楼层,275,34393
914,今日家园丹桂居 ,3室2厅,129.36平米,南,其他,有电梯,10,2001,中楼层,425,32855
915,玉兰里 ,3室1厅,71.59平米,南北,其他,无电梯,6,1990,高楼层,209,29195
916,滨江奥城听雨苑 ,3室2厅,149.4平米,南北,其他,NA,5,2005,低楼层,600,40161
917,云锦美地绮云居 ,3室2厅,106.15平米,南北,精装,无电梯,6,2003,高楼层,380,35799
918,升龙天汇 ,3室1厅,99.71平米,南北,精装,NA,29,2018,高楼层,445,44630
919,拓园 ,2室1厅,49.91平米,南北,其他,NA,6,1994,高楼层,145,29053
